File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px,Distance_cm,Time in Seconds
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,106,1525.18858,93.04774937,3.144377973,0.216174864,7.456387169
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,107,1524.375167,93.40196089,0.887189749,0.060993979,7.526730445
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,108,1524.13328,92.87886683,0.576312956,0.03962131,7.59707372
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,109,1524.078728,92.26314219,0.618136544,0.042496667,7.667416995
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,110,1523.990978,91.68529999,0.584467006,0.040181898,7.73776027
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,111,1523.888668,91.43632474,0.269176611,0.018505796,7.808103545
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,112,1523.898386,90.8651498,0.57125761,0.039273757,7.87844682
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,113,1526.871093,87.59389612,4.420190638,0.30388653,7.948790096
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,114,1526.19791,88.53513839,1.157200433,0.079557117,8.019133371
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,115,1526.54056,88.86916973,0.478524619,0.032898397,8.089476646
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,116,1527.069961,89.54399391,0.857702666,0.058966752,8.159819921
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,117,1528.567228,90.55315799,1.805607979,0.124134905,8.230163196
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,118,1526.732399,94.78659112,4.613952235,0.317207571,8.300506472
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,119,1525.831722,95.50767911,1.153770847,0.079321334,8.370849747
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,120,1524.653749,95.47587566,1.17840218,0.08101473,8.441193022
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,121,1523.178823,95.23262252,1.494849856,0.102770395,8.511536297
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,122,1521.586591,95.0642908,1.601106296,0.110075487,8.581879572
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,123,1520.311944,94.72880361,1.318057058,0.090615953,8.652222847
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,124,1519.645746,94.76067979,0.666960597,0.045853303,8.722566123
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,125,1518.139157,95.24928372,1.583838283,0.108888317,8.792909398
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,126,1516.902686,95.16795014,1.239142881,0.085190631,8.863252673
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,127,1516.149103,95.33473427,0.771819192,0.053062294,8.933595948
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,128,1513.856018,94.39410519,2.478512486,0.170396849,9.003939223
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,129,1513.196681,94.27149558,0.670640265,0.046106279,9.074282499
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,130,1510.87085,88.43708791,6.280907745,0.431810167,9.144625774
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,131,1508.647598,87.11176305,2.588307497,0.177945217,9.214969049
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,132,1506.166963,85.90995995,2.756425214,0.18950325,9.285312324
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,133,1502.064886,85.13770831,4.174135436,0.286970323,9.355655599
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,134,1493.958128,82.57123029,8.503313524,0.584599772,9.425998875
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,135,1486.208168,79.25179129,8.430927963,0.579623291,9.49634215
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,136,1482.670462,80.54272187,3.765881563,0.258903014,9.566685425
